id,value
smc.vis.legend,
smc.vis.legend.Legend,20859
smc.vis.legend.LegendItem,4614
smc.vis.legend.LegendRange,10530
smc.vis.operator,
smc.vis.operator.distortion,
smc.vis.operator.distortion.BifocalDistortion,4461
smc.vis.operator.distortion.Distortion,6314
smc.vis.operator.distortion.FisheyeDistortion,3444
smc.vis.operator.encoder,
smc.vis.operator.encoder.ColorEncoder,3179
smc.vis.operator.encoder.Encoder,4060
smc.vis.operator.encoder.PropertyEncoder,4138
smc.vis.operator.encoder.ShapeEncoder,1690
smc.vis.operator.encoder.SizeEncoder,1830
smc.vis.operator.filter,
smc.vis.operator.filter.FisheyeTreeFilter,5219
smc.vis.operator.filter.GraphDistanceFilter,3165
smc.vis.operator.filter.VisibilityFilter,3509
smc.vis.operator.IOperator,1286
smc.vis.operator.label,
smc.vis.operator.label.Labeler,9956
smc.vis.operator.label.RadialLabeler,3899
smc.vis.operator.label.StackedAreaLabeler,3202
smc.vis.operator.layout,
smc.vis.operator.layout.AxisLayout,6725
smc.vis.operator.layout.BundledEdgeRouter,3727
smc.vis.operator.layout.CircleLayout,9317
smc.vis.operator.layout.CirclePackingLayout,12003
smc.vis.operator.layout.DendrogramLayout,4853
smc.vis.operator.layout.ForceDirectedLayout,8411
smc.vis.operator.layout.IcicleTreeLayout,4864
smc.vis.operator.layout.IndentedTreeLayout,3174
smc.vis.operator.layout.Layout,7881
smc.vis.operator.layout.NodeLinkTreeLayout,12870
smc.vis.operator.layout.PieLayout,2728
smc.vis.operator.layout.RadialTreeLayout,12348
smc.vis.operator.layout.RandomLayout,870
smc.vis.operator.layout.StackedAreaLayout,9121
smc.vis.operator.layout.TreeMapLayout,9191
smc.vis.operator.Operator,2490
smc.vis.operator.OperatorList,5248
smc.vis.operator.OperatorSequence,4190
smc.vis.operator.OperatorSwitch,2581
smc.vis.operator.SortOperator,2023
smc.vis.Visualization,16540
